epoch,train loss,reg loss,train acc,test loss,test acc
0,1.9457885424296062,0.0,tensor(31.0733),1.531645330515775,tensor(46.1800)
1,1.6718713992681258,0.0,tensor(44.2400),1.1243050224853284,tensor(61.3600)
2,1.5324320728962237,0.0,tensor(50.9231),0.9766523181790053,tensor(68.3700)
3,1.4341706511301873,0.0,tensor(55.1336),1.0364019955047454,tensor(69.4600)
4,1.3443719536830216,0.0,tensor(58.5815),0.8596658839119805,tensor(72.7800)
5,1.3221732345911172,0.0,tensor(59.3734),0.6820049529725855,tensor(78.9500)
6,1.273558468849231,0.0,tensor(61.3916),0.7108462753922048,tensor(78.9300)
7,1.2358102971926714,0.0,tensor(62.7752),0.6933654233662769,tensor(79.4400)
8,1.2361345738936693,0.0,tensor(62.5258),0.6176733422761012,tensor(84.1200)
9,1.2250726824387526,0.0,tensor(62.6765),0.643820765644613,tensor(82.9700)
10,1.2231255934024468,0.0,tensor(62.5229),0.6023559534188473,tensor(84.2400)
11,1.157857652581655,0.0,tensor(65.2056),0.5496013887000807,tensor(85.3300)
12,1.1692787563189482,0.0,tensor(64.5785),0.6532248487376203,tensor(82.1900)
13,1.1290969753112547,0.0,tensor(66.3142),0.5576293968191051,tensor(84.5200)
14,1.106388264741653,0.0,tensor(66.9623),0.5728530642962215,tensor(86.3900)
15,1.0778479032027415,0.0,tensor(68.0261),0.483017372663575,tensor(86.4800)
16,1.1242241782255662,0.0,tensor(66.3314),0.6211082796857814,tensor(84.8000)
17,1.1345422773024976,0.0,tensor(65.8274),0.5008408264680342,tensor(88.1500)
18,1.0949548469904142,0.0,tensor(67.3959),0.4863855733413889,tensor(87.9200)
19,1.0866205343451256,0.0,tensor(67.5394),0.497022293733828,tensor(87.7900)
20,1.097880936662356,0.0,tensor(66.7878),0.5413656355154635,tensor(87.2500)
21,1.0500247637812907,0.0,tensor(68.9283),0.5040668962579785,tensor(87.0800)
22,1.0675655931998522,0.0,tensor(68.0541),0.4893545565581081,tensor(90.2600)
23,1.064318384994299,0.0,tensor(68.5654),0.4677801011788725,tensor(89.4700)
24,1.077705561541594,0.0,tensor(67.6829),0.4783111476536953,tensor(87.9000)
25,1.063597696981369,0.0,tensor(67.7851),0.4664447367793382,tensor(89.5700)
26,1.0569255086091849,0.0,tensor(68.1839),0.558991901200227,tensor(87.2100)
